,x,y,category
0,771.604938271605,434.0277777777778,pole
1,471.8712491426612,423.31104252400553,pole
2,299.0,482.0,pole
3,1115.5,680.0,pole
4,58.5,574.0,pole
5,132.5,546.0,pole
6,1020.0,612.0,pole
7,187.0,526.0,pole
8,233.0,508.0,pole
9,959.0,564.0,pole
10,914.0,534.0,pole
11,853.5,492.0,pole
12,877.5,511.0,pole
13,269.5,492.0,pole
14,326.0,472.0,pole
15,405.0,444.0,pole
16,389.5,451.0,pole
17,350.0,463.0,pole
18,418.0,441.0,pole
19,425.5,437.0,pole
20,830.5,478.0,pole
21,370.0,457.0,pole
22,814.5,466.0,pole
23,481.0,419.0,pole
24,462.0,425.0,pole
25,801.5,455.0,pole
26,789.5,447.0,pole
27,441.0,432.0,pole
28,781.0,441.0,pole
29,496.5,402.0,pole
