,x,y,category,consensus
0,974.0,437.0,pole,2
1,925.5,466.0,pole,2
2,373.5,449.0,pole,2
3,79.5,489.0,pole,2
4,1106.0,511.0,pole,2
5,321.0,463.0,pole,2
6,939.5,479.0,pole,2
7,909.5,403.0,pole,2
8,17.5,503.0,pole,2
9,349.0,455.0,pole,2
10,134.0,475.0,pole,2
11,223.0,468.0,pole,2
12,957.5,497.0,pole,2
13,885.5,439.0,pole,2
14,1017.5,460.0,pole,2
15,839.6500000000001,395.35,pole,2
16,865.195006086559,417.9557414018146,pole,2
17,877.5549347449385,428.9846008200609,pole,2
18,861.7722566119309,413.5822281842343,pole,2
19,852.4547719309987,406.736729234978,pole,2
20,857.9692016401218,409.2087149666539,pole,2
21,895.8512800921128,395.87794243507096,pole,2
22,873.9420325217199,425.7520040940232,pole,2
23,696.0,330.0,pole,2
